ARP Items v1.3
By : Havena & Raztoux

Weapons N= Normale, M= Militaire, S= Secret

=====
v1.0
"ARP_babywipes"		n Couche culottes
"ARP_bloodchit"		m Petit document
"ARP_bloodchit_corner"	s Bout de petit document
"ARP_book_manual"	s Manuel de destruction
"ARP_book_novel"	n Roman
"ARP_bugspray"		n Insecticide
"ARP_cards"		n Carte à jouer
"ARP_comic"		n Bande dessiné
"ARP_condom"		n Préservatif
"ARP_dice"		n Dès
"ARP_dip"		n Tabac à chiquer
"ARP_elec_powder"	n Stéroides
"ARP_eyedrops"		n Collyre
"ARP_gq"		n Magazine masculin
"ARP_gum"		n Chewing Gum
"ARP_ID"		sm Carte d'identité
"ARP_letter_love"	n Lettre d'amour
"ARP_letter_norm"	n Lettre
"ARP_letter_susp"	s Message secret
"ARP_lighter"		n Briquet
"ARP_lipbalm"		n Labello
"ARP_multitool"		n Pince multi-fonction
"ARP_nationalgeo"	n Magazine de géographie
"ARP_newspaper"		n Journal
"ARP_picture_fam"	n Photo de famille
"ARP_picture_gf"	n Photo de copine
"ARP_picture_susp"	s Photo de guerre
"ARP_playboy"		n Magazine Playboy
"ARP_refbelt"		n Bande réfléchissante
"ARP_shemagh_black"	n Shemagh noir
"ARP_shemagh_blue"	n Shemagh bleu
"ARP_shemagh_brown"	n Shemagh marron
"ARP_shemagh_green"	n Shemagh vert
"ARP_shemagh_olive"	n Shemagh camo
"ARP_shemagh_red"	n Shemagh rouge
"ARP_shemagh_tan"	n Shemagh sable
"ARP_shemagh_white"	n Shemagh blanc
"ARP_skittles"		n Sachet de bonbons
"ARP_snickers"		n Snickers
"ARP_socks_black"	n Chaussettes noir
"ARP_socks_green"	nm Chaussettes verte
"ARP_stuff_animal"	n Peluche
"ARP_sudoku"		n Sudoku
"ARP_sunblock"		n Crême solaire
"ARP_tanboxer"		nm Slip sale
"ARP_tanshirt"		nm T-Shirt
"ARP_toiletpaper"	n Papier toilette
"ARP_towel"		n Serviette
"ARP_usbdrive"		sn Clef USB
"ARP_vhstape"		sn Cassette VHS
"ARP_water_tabs"	n Pillules de purification d'eau

v1.1
"ARP_2way"		s Talky-walky
"ARP_550cord"		nm Corde d'alpiniste
"ARP_acetone"		s Acetone
"ARP_bandana_green"	n Bandana vert
"ARP_bandana_black"	n bandana noir
"ARP_bandana_blue"	n bandana bleu
"ARP_bandana_purple"	n bandana violet
"ARP_bandana_red"	n bandana rouge
"ARP_batteries"		n Piles
"ARP_beefjerkey"	n Boeuf seche
"ARP_beer"		n Biere (Light)
"ARP_boots_mil"		m Paire de Rangers
"ARP_bungeecord"	n Tendeur
"ARP_camcorder"		s Caméra
"ARP_canopener"		n Ouvre boite
"ARP_cigarettes"	n cigarettes
"ARP_clacker"		sm Clicker
"ARP_CLP"		m Colle
"ARP_detcord"		sm Cablage
"ARP_domo"		n Peluche domo
"ARP_ducttape"		snm Ruban adhésif
"ARP_dumbphone"		n IPhone defectueux
"ARP_dvds"		n DVD
"ARP_energydrink"	n Boisson energisante
"ARP_exan"		s Explosif
"ARP_facepaint"		m Fard à paupière
"ARP_firestarter"	n Pierre a feu
"ARP_gameboy"		n gameboy
"ARP_garageopener"	s Bip pour garage
"ARP_hammer"		n Marteau
"ARP_handwarmer"	n Chauffe main
"ARP_hexamine"		s hexamine
"ARP_hydrochloric"	s Flacon d'acide
"ARP_matches"		n Boite d'allumettes
"ARP_mp3"		n MP3
"ARP_nails"		n Clous
"ARP_pacecounter"	m Compteur de pas
"ARP_phonecard"		n Carte telephonique
"ARP_pitabread"		n Pita
"ARP_poppybag"		n Sac de pavot
"ARP_potatobag"		n Sac de patate
"ARP_psp"		n psp
"ARP_ricebag"		n Sac de riz
"ARP_sandwich"		n sandwich
"ARP_smartphone"	n smartphone
"ARP_steelpipe"		s Barre d'acier
"ARP_stethoscope"	n stethoscope
"ARP_toxicgas"		s Gaz Toxic
"ARP_twinkies"		n twinkies
"ARP_vodka"		n vodka
"ARP_whistle"		n Siflet
"ARP_wpnclnkit"		m Kit de nettoyage
"ARP_chili"		n chili
"ARP_cigar"		n Cigare
"ARP_coke"		n Coca-cola
"ARP_dew"		n mountain dew
"ARP_drpepper"		n dr pepper
"ARP_goldbar"		n Lingot
